learning_algorithm,policy,domain_name,num_trajectories,learning_time,num_trajectory_triplets,total_number_of_actions,learned_action_name,num_triplets_action_appeared,num_pb_literals,num_pb_functions,learned_discrete_preconditions,num_learned_positive_preconditions,num_learned_negative_preconditions,num_learned_add_effects,num_learned_delete_effects,num_ground_truth_positive_preconditions,num_ground_truth_negative_preconditions,num_ground_truth_add_effects,num_ground_truth_delete_effects,learned_discrete_effects,num_discrete_effects,ground_truth_preconditions,ground_truth_effects,preconditions_precision,effects_precision,preconditions_recall,effects_recall,action_precision,action_recall,f1_score
sam_learning,no_remove,blocks,4,0.00978994369506836,40,4,pick-up,6,10,0,"['(clear ?x)', '(ontable ?x)', '(handempty ?robot)']",3,0,2,3,3,0,2,3,"['(not (ontable ?x))', '(not (handempty ?robot))', '(holding ?x)', '(not (clear ?x))', '(handfull ?robot)']",,"['(clear ?x)', '(ontable ?x)', '(handempty ?robot)']","['(not (ontable ?x))', '(not (handempty ?robot))', '(holding ?x)', '(not (clear ?x))', '(handfull ?robot)']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,no_remove,blocks,4,0.00978994369506836,40,4,put-down,4,10,0,"['(holding ?x)', '(handfull ?robot)']",2,0,3,2,2,0,3,2,"['(not (holding ?x))', '(handempty ?robot)', '(not (handfull ?robot))', '(ontable ?x)', '(clear ?x)']",,"['(holding ?x)', '(handfull ?robot)']","['(not (holding ?x))', '(handempty ?robot)', '(not (handfull ?robot))', '(ontable ?x)', '(clear ?x)']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,no_remove,blocks,4,0.00978994369506836,40,4,stack,16,20,0,"['(holding ?x)', '(handfull ?robot)', '(clear ?y)']",3,0,3,3,3,0,3,3,"['(not (holding ?x))', '(handempty ?robot)', '(not (handfull ?robot))', '(clear ?x)', '(on ?x ?y)', '(not (clear ?y))']",,"['(holding ?x)', '(handfull ?robot)', '(clear ?y)']","['(not (holding ?x))', '(handempty ?robot)', '(not (handfull ?robot))', '(clear ?x)', '(on ?x ?y)', '(not (clear ?y))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,no_remove,blocks,4,0.00978994369506836,40,4,unstack,14,20,0,"['(clear ?x)', '(on ?x ?y)', '(handempty ?robot)']",3,0,3,3,3,0,3,3,"['(not (on ?x ?y))', '(not (handempty ?robot))', '(holding ?x)', '(clear ?y)', '(not (clear ?x))', '(handfull ?robot)']",,"['(clear ?x)', '(on ?x ?y)', '(handempty ?robot)']","['(not (on ?x ?y))', '(not (handempty ?robot))', '(holding ?x)', '(clear ?y)', '(not (clear ?x))', '(handfull ?robot)']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
