learning_algorithm,policy,domain_name,num_trajectories,learning_time,num_trajectory_triplets,total_number_of_actions,learned_action_name,num_triplets_action_appeared,num_pb_literals,num_pb_functions,learned_discrete_preconditions,num_learned_positive_preconditions,num_learned_negative_preconditions,num_learned_add_effects,num_learned_delete_effects,num_ground_truth_positive_preconditions,num_ground_truth_negative_preconditions,num_ground_truth_add_effects,num_ground_truth_delete_effects,learned_discrete_effects,num_discrete_effects,ground_truth_preconditions,ground_truth_effects,preconditions_precision,effects_precision,preconditions_recall,effects_recall,action_precision,action_recall,f1_score
sam_learning,hard,blocks,4,0.08233022689819336,400,4,pick-up,70,10,0,"['(ontable ?x)', '(clear ?x)', '(handempty ?robot)']",3,0,2,3,3,0,2,3,"['(not (clear ?x))', '(handfull ?robot)', '(not (handempty ?robot))', '(not (ontable ?x))', '(holding ?x)']",,"['(ontable ?x)', '(clear ?x)', '(handempty ?robot)']","['(not (clear ?x))', '(handfull ?robot)', '(not (handempty ?robot))', '(not (ontable ?x))', '(holding ?x)']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,hard,blocks,4,0.08233022689819336,400,4,put-down,69,10,0,"['(handfull ?robot)', '(holding ?x)']",2,0,3,2,2,0,3,2,"['(clear ?x)', '(not (handfull ?robot))', '(handempty ?robot)', '(ontable ?x)', '(not (holding ?x))']",,"['(handfull ?robot)', '(holding ?x)']","['(clear ?x)', '(not (handfull ?robot))', '(handempty ?robot)', '(ontable ?x)', '(not (holding ?x))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,hard,blocks,4,0.08233022689819336,400,4,stack,131,20,0,"['(clear ?y)', '(handfull ?robot)', '(holding ?x)']",3,0,3,3,3,0,3,3,"['(clear ?x)', '(not (clear ?y))', '(on ?x ?y)', '(not (handfull ?robot))', '(handempty ?robot)', '(not (holding ?x))']",,"['(clear ?y)', '(handfull ?robot)', '(holding ?x)']","['(clear ?x)', '(not (clear ?y))', '(on ?x ?y)', '(not (handfull ?robot))', '(handempty ?robot)', '(not (holding ?x))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,hard,blocks,4,0.08233022689819336,400,4,unstack,130,20,0,"['(clear ?x)', '(on ?x ?y)', '(handempty ?robot)']",3,0,3,3,3,0,3,3,"['(not (clear ?x))', '(clear ?y)', '(not (on ?x ?y))', '(handfull ?robot)', '(not (handempty ?robot))', '(holding ?x)']",,"['(clear ?x)', '(on ?x ?y)', '(handempty ?robot)']","['(not (clear ?x))', '(clear ?y)', '(not (on ?x ?y))', '(handfull ?robot)', '(not (handempty ?robot))', '(holding ?x)']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
