learning_algorithm,policy,domain_name,num_trajectories,learning_time,num_trajectory_triplets,total_number_of_actions,learned_action_name,num_triplets_action_appeared,num_pb_literals,num_pb_functions,learned_discrete_preconditions,num_learned_positive_preconditions,num_learned_negative_preconditions,num_learned_add_effects,num_learned_delete_effects,num_ground_truth_positive_preconditions,num_ground_truth_negative_preconditions,num_ground_truth_add_effects,num_ground_truth_delete_effects,learned_discrete_effects,num_discrete_effects,ground_truth_preconditions,ground_truth_effects,preconditions_precision,effects_precision,preconditions_recall,effects_recall,action_precision,action_recall,f1_score
sam_learning,hard,blocks,4,0.08615493774414062,400,4,pick-up,76,10,0,"['(clear ?x)', '(ontable ?x)', '(handempty ?robot)']",3,0,2,3,3,0,2,3,"['(holding ?x)', '(handfull ?robot)', '(not (ontable ?x))', '(not (clear ?x))', '(not (handempty ?robot))']",,"['(clear ?x)', '(ontable ?x)', '(handempty ?robot)']","['(holding ?x)', '(handfull ?robot)', '(not (ontable ?x))', '(not (clear ?x))', '(not (handempty ?robot))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,hard,blocks,4,0.08615493774414062,400,4,put-down,73,10,0,"['(holding ?x)', '(handfull ?robot)']",2,0,3,2,2,0,3,2,"['(not (holding ?x))', '(not (handfull ?robot))', '(ontable ?x)', '(clear ?x)', '(handempty ?robot)']",,"['(holding ?x)', '(handfull ?robot)']","['(not (holding ?x))', '(not (handfull ?robot))', '(ontable ?x)', '(clear ?x)', '(handempty ?robot)']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,hard,blocks,4,0.08615493774414062,400,4,stack,127,20,0,"['(handfull ?robot)', '(holding ?x)', '(clear ?y)']",3,0,3,3,3,0,3,3,"['(not (handfull ?robot))', '(not (holding ?x))', '(on ?x ?y)', '(not (clear ?y))', '(clear ?x)', '(handempty ?robot)']",,"['(holding ?x)', '(handfull ?robot)', '(clear ?y)']","['(not (holding ?x))', '(not (handfull ?robot))', '(on ?x ?y)', '(not (clear ?y))', '(clear ?x)', '(handempty ?robot)']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,hard,blocks,4,0.08615493774414062,400,4,unstack,124,20,0,"['(clear ?x)', '(on ?x ?y)', '(handempty ?robot)']",3,0,3,3,3,0,3,3,"['(holding ?x)', '(handfull ?robot)', '(not (on ?x ?y))', '(clear ?y)', '(not (clear ?x))', '(not (handempty ?robot))']",,"['(clear ?x)', '(on ?x ?y)', '(handempty ?robot)']","['(holding ?x)', '(handfull ?robot)', '(not (on ?x ?y))', '(clear ?y)', '(not (clear ?x))', '(not (handempty ?robot))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
