learning_algorithm,policy,domain_name,num_trajectories,learning_time,num_trajectory_triplets,total_number_of_actions,learned_action_name,num_triplets_action_appeared,num_pb_literals,num_pb_functions,learned_discrete_preconditions,num_learned_positive_preconditions,num_learned_negative_preconditions,num_learned_add_effects,num_learned_delete_effects,num_ground_truth_positive_preconditions,num_ground_truth_negative_preconditions,num_ground_truth_add_effects,num_ground_truth_delete_effects,learned_discrete_effects,num_discrete_effects,ground_truth_preconditions,ground_truth_effects,preconditions_precision,effects_precision,preconditions_recall,effects_recall,action_precision,action_recall,f1_score
sam_learning,no_remove,blocks,4,0.08678603172302246,400,4,pick-up,70,10,0,"['(handempty ?robot)', '(clear ?x)', '(ontable ?x)']",3,0,2,3,3,0,2,3,"['(holding ?x)', '(not (handempty ?robot))', '(handfull ?robot)', '(not (clear ?x))', '(not (ontable ?x))']",,"['(handempty ?robot)', '(clear ?x)', '(ontable ?x)']","['(holding ?x)', '(not (handempty ?robot))', '(handfull ?robot)', '(not (clear ?x))', '(not (ontable ?x))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,no_remove,blocks,4,0.08678603172302246,400,4,put-down,69,10,0,"['(holding ?x)', '(handfull ?robot)']",2,0,3,2,2,0,3,2,"['(handempty ?robot)', '(clear ?x)', '(ontable ?x)', '(not (holding ?x))', '(not (handfull ?robot))']",,"['(holding ?x)', '(handfull ?robot)']","['(handempty ?robot)', '(clear ?x)', '(ontable ?x)', '(not (holding ?x))', '(not (handfull ?robot))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,no_remove,blocks,4,0.08678603172302246,400,4,stack,131,20,0,"['(clear ?y)', '(holding ?x)', '(handfull ?robot)']",3,0,3,3,3,0,3,3,"['(handempty ?robot)', '(clear ?x)', '(not (holding ?x))', '(on ?x ?y)', '(not (handfull ?robot))', '(not (clear ?y))']",,"['(clear ?y)', '(holding ?x)', '(handfull ?robot)']","['(handempty ?robot)', '(clear ?x)', '(on ?x ?y)', '(not (holding ?x))', '(not (handfull ?robot))', '(not (clear ?y))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
sam_learning,no_remove,blocks,4,0.08678603172302246,400,4,unstack,130,20,0,"['(handempty ?robot)', '(on ?x ?y)', '(clear ?x)']",3,0,3,3,3,0,3,3,"['(not (on ?x ?y))', '(holding ?x)', '(not (handempty ?robot))', '(handfull ?robot)', '(clear ?y)', '(not (clear ?x))']",,"['(handempty ?robot)', '(on ?x ?y)', '(clear ?x)']","['(not (on ?x ?y))', '(holding ?x)', '(not (handempty ?robot))', '(handfull ?robot)', '(clear ?y)', '(not (clear ?x))']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
